CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_A003;RS_S4H_PUB_001;S4H_TB_A003;S4H_VW_A003_R;OK
ZS4_VCI_A004;RS_S4H_PUB_001;S4H_TB_A004;S4H_VW_A004_R;OK
ZS4_VCI_A005;RS_S4H_PUB_001;S4H_TB_A005;S4H_VW_A005_R;OK
ZS4_VCI_A016;RS_S4H_PUB_001;S4H_TB_A016;S4H_VW_A016_R;OK
ZS4_VCI_A068;RS_S4H_PUB_001;S4H_TB_A068;S4H_VW_A068_R;OK
ZS4_VCI_A346;RS_S4H_PUB_001;S4H_TB_A346;S4H_VW_A346_R;OK
ZS4_VCI_A524;RS_S4H_PUB_001;S4H_TB_A524;S4H_VW_A524_R;OK
ZS4_VCI_A601;RS_S4H_PUB_001;S4H_TB_A601;S4H_VW_A601_R;OK
ZS4_VCI_A860;RS_S4H_PUB_001;S4H_TB_A860;S4H_VW_A860_R;OK
ZS4_VCI_A861;RS_S4H_PUB_001;S4H_TB_A861;S4H_VW_A861_R;OK
ZS4_VCI_A862;RS_S4H_PUB_001;S4H_TB_A862;S4H_VW_A862_R;OK
ZS4_VCI_A863;RS_S4H_PUB_001;S4H_TB_A863;S4H_VW_A863_R;OK
ZS4_VCI_A864;RS_S4H_PUB_001;S4H_TB_A864;S4H_VW_A864_R;OK
ZS4_VCI_A865;RS_S4H_PUB_001;S4H_TB_A865;S4H_VW_A865_R;OK
ZS4_VCI_A866;RS_S4H_PUB_001;S4H_TB_A866;S4H_VW_A866_R;OK
ZS4_VCI_A867;RS_S4H_PUB_001;S4H_TB_A867;S4H_VW_A867_R;OK
ZS4_VCI_A868;RS_S4H_PUB_001;S4H_TB_A868;S4H_VW_A868_R;OK
ZS4_VCI_A869;RS_S4H_PUB_001;S4H_TB_A869;S4H_VW_A869_R;OK
ZS4_VCI_A874;RS_S4H_PUB_001;S4H_TB_A874;S4H_VW_A874_R;OK
ZS4_VCI_A875;RS_S4H_PUB_001;S4H_TB_A875;S4H_VW_A875_R;OK
ZS4_VCI_A876;RS_S4H_PUB_001;S4H_TB_A876;S4H_VW_A876_R;OK
ZS4_VCI_A877;RS_S4H_PUB_001;S4H_TB_A877;S4H_VW_A877_R;OK
ZS4_VCI_A878;RS_S4H_PUB_001;S4H_TB_A878;S4H_VW_A878_R;OK
ZS4_VCI_A879;RS_S4H_PUB_001;S4H_TB_A879;S4H_VW_A879_R;OK
ZS4_VCI_A880;RS_S4H_PUB_001;S4H_TB_A880;S4H_VW_A880_R;OK
ZS4_VCI_A891;RS_S4H_PUB_001;S4H_TB_A891;S4H_VW_A891_R;OK
ZS4_VCI_A892;RS_S4H_PUB_001;S4H_TB_A892;S4H_VW_A892_R;OK
ZS4_VCI_A893;RS_S4H_PUB_001;S4H_TB_A893;S4H_VW_A893_R;OK
ZS4_VCI_A894;RS_S4H_PUB_001;S4H_TB_A894;S4H_VW_A894_R;OK
ZS4_VCI_A895;RS_S4H_PUB_001;S4H_TB_A895;S4H_VW_A895_R;OK
ZS4_VCI_A896;RS_S4H_PUB_001;S4H_TB_A896;S4H_VW_A896_R;OK
ZS4_VCI_A897;RS_S4H_PUB_001;S4H_TB_A897;S4H_VW_A897_R;OK
ZS4_VCI_A898;RS_S4H_PUB_001;S4H_TB_A898;S4H_VW_A898_R;OK
ZS4_VCI_A912;RS_S4H_PUB_001;S4H_TB_A912;S4H_VW_A912_R;OK
ZS4_VCI_A917;RS_S4H_PUB_001;S4H_TB_A917;S4H_VW_A917_R;OK
ZS4_VCI_A918;RS_S4H_PUB_001;S4H_TB_A918;S4H_VW_A918_R;OK
ZS4_VCI_A919;RS_S4H_PUB_001;S4H_TB_A919;S4H_VW_A919_R;OK
ZS4_VCI_A920;RS_S4H_PUB_001;S4H_TB_A920;S4H_VW_A920_R;OK
ZS4_VCI_A922;RS_S4H_PUB_001;S4H_TB_A922;S4H_VW_A922_R;OK
ZS4_VCI_A923;RS_S4H_PUB_001;S4H_TB_A923;S4H_VW_A923_R;OK
ZS4_VCI_A949;RS_S4H_PUB_001;S4H_TB_A949;S4H_VW_A949_R;OK
ZS4_VCI_A952;RS_S4H_PUB_001;S4H_TB_A952;S4H_VW_A952_R;OK
ZS4_VCI_ADCP;RS_S4H_PUB_001;S4H_TB_ADCP;S4H_VW_ADCP_R;OK
ZS4_VCI_ADR2;RS_S4H_PUB_001;S4H_TB_ADR2;S4H_VW_ADR2_R;OK
ZS4_VCI_ADR6;RS_S4H_PUB_001;S4H_TB_ADR6;S4H_VW_ADR6_R;OK
ZS4_VCI_ADRC;RS_S4H_PUB_001;S4H_TB_ADRC;S4H_VW_ADRC_R;OK
ZS4_VCI_ADRCT;RS_S4H_PUB_001;S4H_TB_ADRCT;S4H_VW_ADRCT_R;OK
ZS4_VCI_ADRP;RS_S4H_PUB_001;S4H_TB_ADRP;S4H_VW_ADRP_R;OK
ZS4_VCI_ADRT;RS_S4H_PUB_001;S4H_TB_ADRT;S4H_VW_ADRT_R;OK
ZS4_VCI_AFAB;RS_S4H_PUB_001;S4H_TB_AFAB;S4H_VW_AFAB_R;OK
ZS4_VCI_AFFH;RS_S4H_PUB_001;S4H_TB_AFFH;S4H_VW_AFFH_R;OK
ZS4_VCI_AFFL;RS_S4H_PUB_001;S4H_TB_AFFL;S4H_VW_AFFL_R;OK
ZS4_VCI_AFFW;RS_S4H_PUB_001;S4H_TB_AFFW;S4H_VW_AFFW_R;OK
ZS4_VCI_AFIH;RS_S4H_PUB_001;S4H_TB_AFIH;S4H_VW_AFIH_R;OK
ZS4_VCI_AFKO;RS_S4H_PUB_001;S4H_TB_AFKO;S4H_VW_AFKO_R;OK
ZS4_VCI_AFPO;RS_S4H_PUB_001;S4H_TB_AFPO;S4H_VW_AFPO_R;OK
ZS4_VCI_AFRC;RS_S4H_PUB_001;S4H_TB_AFRC;S4H_VW_AFRC_R;OK
ZS4_VCI_AFRD;RS_S4H_PUB_001;S4H_TB_AFRD;S4H_VW_AFRD_R;OK
ZS4_VCI_AFRU;RS_S4H_PUB_001;S4H_TB_AFRU;S4H_VW_AFRU_R;OK
ZS4_VCI_AFRV;RS_S4H_PUB_001;S4H_TB_AFRV;S4H_VW_AFRV_R;OK
ZS4_VCI_AFVC;RS_S4H_PUB_001;S4H_TB_AFVC;S4H_VW_AFVC_R;OK
ZS4_VCI_AFVU;RS_S4H_PUB_001;S4H_TB_AFVU;S4H_VW_AFVU_R;OK
ZS4_VCI_AFVV;RS_S4H_PUB_001;S4H_TB_AFVV;S4H_VW_AFVV_R;OK
ZS4_VCI_AFWI;RS_S4H_PUB_001;S4H_TB_AFWI;S4H_VW_AFWI_R;OK
ZS4_VCI_AGR_1016;RS_S4H_PUB_001;S4H_TB_AGR_1016;S4H_VW_AGR_1016_R;OK
ZS4_VCI_AGR_1251;RS_S4H_PUB_001;S4H_TB_AGR_1251;S4H_VW_AGR_1251_R;OK
